Model,Residual_Mean,Residual_Std,Ljung_Box_Statistic,Ljung_Box_p_value,ARCH_LM_Statistic,ARCH_LM_p_value
ARIMA,-0.18107269277254573,0.7024935492772931,9804.630904790576,0.0,680.1101922056496,3.7676581220280993e-128
SARIMA,-1.5249870455780976,1.1104967649810467,54466.389431340205,0.0,4166.831706904238,0.0
LSTM,-0.014580124349200418,0.594132216153527,494819.7881365172,0.0,113668.97567636195,0.0
GRU,-0.0418112749296838,0.6440594959513887,485292.87310885155,0.0,108276.56180310118,0.0
